,date,symbol,open,close,low,high,volume,eps,pe,yield1,yield3,yield6,yield12,ma50,ma200,ma300,hi91,hi182,hi365,lo91,lo182,lo365
478427,2014-01-07,ABBV,50.84,50.490002000000004,50.299999,51.209998999999996,9719900.0,1.11,45.486488288288285,-3.5898358523932643,8.979062854346537,13.155542652522257,48.10795541214432,51.01235261764706,46.68572457971013,45.44923071634615,54.73,58.27,70.760002,46.419998,45.5,45.5
478429,2014-01-07,ABT,39.23,38.849998,38.740002000000004,39.349998,8329300.0,1.5,25.899998666666665,6.730757871936376,14.26469999999999,9.49830326944759,16.45682504625823,37.85588220588235,36.02123178985507,36.14024025961539,40.490002000000004,41.959998999999996,46.5,35.650002,35.650002,35.650002
478467,2014-01-07,ATVI,18.200001,18.32,18.01,18.370001000000002,5114400.0,1.14,16.070175438596493,9.242695289206921,2.7481772293886877,21.083939193654984,59.30434782608697,17.4364705882353,16.76971014492753,16.066634615384622,21.5,22.780001000000002,24.18,16.549999,16.549999,16.549999
478917,2014-01-08,ABBV,50.630001,50.360001000000004,50.240002000000004,51.110001000000004,6811100.0,1.11,45.36937027027027,-5.639868945847269,8.698464981719624,12.86419123406975,47.72660897623936,51.05617620588235,46.741811550724634,45.51264419230768,54.73,58.27,70.760002,46.419998,45.5,45.5
478919,2014-01-08,ABT,38.849998,39.200001,38.720001,39.220001,6140700.0,1.5,26.133334,7.309066720751915,15.294120588235288,10.484782976324695,17.505994679076878,37.89294108823529,36.04746366666666,36.160384504807695,40.490002000000004,41.959998999999996,46.5,35.650002,35.650002,35.650002
478957,2014-01-08,ATVI,18.32,18.34,18.08,18.43,5520400.0,1.14,16.087719298245617,9.557945041816012,2.8603477285473957,21.216126900198276,59.47826086956522,17.460588235294125,16.804420289855063,16.08278846153847,21.5,22.780001000000002,24.18,16.549999,16.549999,16.549999
479407,2014-01-09,ABBV,50.59,51.220001,49.869999,51.650002,6960300.0,1.11,46.14414504504504,-4.028476747769844,11.154511234613238,16.913946201462096,50.2493429158111,51.13735273529412,46.77402874100719,45.57831726923076,54.73,58.27,70.760002,46.419998,45.5,45.5
479409,2014-01-09,ABT,39.27,39.27,38.970001,39.34,4996800.0,1.5,26.180000000000003,7.5006873118173445,16.493625526360916,9.999996918767607,17.715823809477698,37.90941170588235,36.07064738129496,36.18024027884616,40.490002000000004,41.959998999999996,46.5,35.650002,35.650002,35.650002
479447,2014-01-09,ATVI,18.41,18.299999,18.280001000000002,18.450001,4005100.0,1.14,16.05263070175439,9.318990442054968,3.040534909909894,21.192046357615894,59.130426086956504,17.502058823529413,16.815179848920852,16.098509610576933,21.5,22.780001000000002,24.18,16.549999,16.549999,16.549999
479897,2014-01-10,ABBV,51.27,50.900002,50.759997999999996,51.490002000000004,5517700.0,1.11,45.85585765765765,-4.628062668691442,8.159797956655382,15.787086346385053,47.109840873401225,51.22411747058824,46.80349997857142,45.63793266346154,54.73,58.27,70.760002,45.5,45.5,45.5
479899,2014-01-10,ABT,39.27,39.57,39.110001000000004,39.630001,6360500.0,1.5,26.38,8.321930148424045,10.222835085078813,10.469011725293129,19.836462749848565,37.95029405882352,36.095642757142855,36.20634605288462,40.490002000000004,41.959998999999996,46.5,35.650002,35.650002,35.650002
479937,2014-01-10,ATVI,18.379998999999998,18.18,18.030001000000002,18.389999,3943300.0,1.14,15.947368421052632,8.60215053763443,4.965357967667444,19.056974459724955,57.13050993949872,17.530882323529415,16.824928564285702,16.115480764423083,21.5,22.780001000000002,24.18,16.549999,16.549999,16.549999
480387,2014-01-13,ABBV,50.66,49.830002,49.639998999999996,50.740002000000004,7055200.0,1.11,44.89189369369369,-5.320157603645114,3.0610218432687475,10.807206786586462,33.52090568060021,51.331515060606066,46.91608694202898,45.6940384423077,54.73,58.27,70.760002,45.5,45.5,45.5
480389,2014-01-13,ABT,39.110001000000004,39.110001000000004,39.060001,39.669998,12136000.0,1.5,26.073334000000003,2.839868599523257,6.10417780509556,9.245815900721126,19.456318298331183,37.972727242424234,36.13637671739129,36.23350952403847,40.490002000000004,41.959998999999996,46.5,35.650002,35.650002,35.650002
480427,2014-01-13,ATVI,18.02,17.870001000000002,17.780001000000002,18.27,4577400.0,1.14,15.675439473684214,1.1891336353341018,2.348236102419037,17.953801980198023,57.306346830985945,17.556363666666662,16.901086956521734,16.1323076923077,21.5,22.780001000000002,24.18,16.549999,16.549999,16.549999
480877,2014-01-14,ABBV,49.939999,50.599998,49.630001,50.880001,6610800.0,1.11,45.58558378378378,-3.783993154592139,4.653567927758758,12.51945046654545,38.934653428591616,51.30999985294118,46.97021735507245,45.752884581730775,54.73,58.27,70.760002,45.5,45.5,45.5
480879,2014-01-14,ABT,39.299999,39.57,39.07,39.59,6570300.0,1.5,26.38,4.5718816067653165,7.352140332280513,10.53072934443378,20.2735489195411,38.01970585294117,36.16688395652172,36.262499903846155,40.490002000000004,41.959998999999996,46.5,35.650002,35.650002,35.650002
480917,2014-01-14,ATVI,17.780001000000002,17.49,17.15,17.780001000000002,10833400.0,1.14,15.342105263157894,-2.126474419335537,0.1718270430599631,15.445544554455438,53.42105263157893,17.554411794117645,16.926086956521733,16.149038461538467,21.5,22.93,24.18,16.549999,16.549999,16.549999
481367,2014-01-15,ABBV,50.650002,50.110001000000004,50.07,50.669998,4728400.0,1.11,45.14414504504504,-4.697605374758254,3.640130450470764,11.429841862800941,37.5892469845825,51.359999882352945,47.033768086956506,45.80600958173078,54.73,58.27,70.760002,45.5,45.5,45.5
481369,2014-01-15,ABT,39.599998,39.529999,39.25,39.619999,5279000.0,1.5,26.353332666666663,2.8355880030069613,7.243618902777541,10.41899470444119,20.15196534030605,38.06029399999999,36.200579594202885,36.289999894230775,40.490002000000004,41.959998999999996,46.5,35.650002,35.650002,35.650002
481407,2014-01-15,ATVI,17.559998999999998,17.389999,17.219998999999998,17.610001,7357000.0,1.14,15.2543850877193,-4.187333333333328,-0.4009164032598278,14.785471947194708,52.543850877192966,17.553823529411762,16.948768108695646,16.164278841346157,21.5,23.219998999999998,24.18,16.549999,16.549999,16.549999
481857,2014-01-16,ABBV,50.099998,50.5,50.02,50.619999,4972300.0,1.11,45.49549549549549,-3.9558804124807665,3.0612244897959044,13.969755947421447,38.66008449533686,51.41588229411766,47.05870500719423,45.863749956730764,54.73,58.27,70.760002,45.5,45.5,45.5
481859,2014-01-16,ABT,39.529999,39.540001000000004,39.41,39.689999,3716100.0,1.5,26.360000666666668,2.861607774755683,6.8071339816315515,7.797167393675039,20.18236655426344,38.103529323529415,36.22460420863308,36.319134514423084,40.490002000000004,42.990002000000004,46.5,35.650002,35.650002,35.650002
481897,2014-01-16,ATVI,17.370001000000002,17.33,17.290001,17.52,8097800.0,1.14,15.201754385964913,-4.517906336088146,-1.5340909090909207,13.863337713534804,52.017543859649095,17.560588235294116,16.951510784172655,16.179999995192308,21.5,23.219998999999998,24.18,16.549999,16.549999,16.549999
482347,2014-01-17,ABBV,50.639998999999996,50.060001,50.009997999999996,50.66,8606800.0,1.11,45.09909999999999,-4.792698562468672,3.5795549936041766,14.711278980551782,37.45195977221084,51.469117617647065,47.08014283571427,45.91706726442307,54.73,58.27,70.760002,45.5,45.5,45.5
482349,2014-01-17,ABT,39.860001000000004,39.400002,39.209998999999996,39.860001000000004,7216400.0,1.5,26.266668,2.4974064125235884,5.828638195004032,8.093280985095163,19.75683770475152,38.1352940882353,36.24728562142857,36.34658645192309,40.490002000000004,42.990002000000004,46.5,35.650002,35.650002,35.650002
